Province,City,Suburb,Area,Listed,Sold,Inventory
gauteng,johannesburg,bedfordview,bedford-gardens,248,3.0,82.66666666666667
gauteng,johannesburg,bedfordview,bedford-park,17,4.0,4.25
gauteng,johannesburg,bedfordview,bedfordview,311,11.0,28.272727272727273
gauteng,johannesburg,bedfordview,essexwold,10,1.0,10.0
gauteng,johannesburg,bedfordview,meadowbrook,14,2.0,7.0
gauteng,johannesburg,bedfordview,morninghill,73,4.0,18.25
gauteng,johannesburg,bedfordview,oriel,25,1.0,25.0
gauteng,johannesburg,bedfordview,senderwood,4,2.0,2.0
gauteng,johannesburg,bedfordview,st-andrews,53,3.0,17.666666666666668
gauteng,johannesburg,fourways-sunninghill-and-lonehill,beverley,70,8.0,8.75
gauteng,johannesburg,fourways-sunninghill-and-lonehill,bloubosrand,102,7.0,14.571428571428571
gauteng,johannesburg,fourways-sunninghill-and-lonehill,broadacres,297,7.0,42.42857142857143
gauteng,johannesburg,fourways-sunninghill-and-lonehill,cedar-creek,5,,
gauteng,johannesburg,fourways-sunninghill-and-lonehill,cedar-lakes,6,2.0,3.0
gauteng,johannesburg,fourways-sunninghill-and-lonehill,craigavon,122,8.0,15.25
gauteng,johannesburg,fourways-sunninghill-and-lonehill,dainfern,197,21.0,9.380952380952381
gauteng,johannesburg,fourways-sunninghill-and-lonehill,dainfern-ridge,5,1.0,5.0
gauteng,johannesburg,fourways-sunninghill-and-lonehill,dainfern-valley,1,1.0,1.0
gauteng,johannesburg,fourways-sunninghill-and-lonehill,douglasdale,277,32.0,8.65625
gauteng,johannesburg,fourways-sunninghill-and-lonehill,fourways,547,35.0,15.628571428571428
gauteng,johannesburg,fourways-sunninghill-and-lonehill,fourways-gardens,10,2.0,5.0
gauteng,johannesburg,fourways-sunninghill-and-lonehill,jukskei-park,67,1.0,67.0
gauteng,johannesburg,fourways-sunninghill-and-lonehill,kengies,24,2.0,12.0
gauteng,johannesburg,fourways-sunninghill-and-lonehill,lonehill,381,40.0,9.525
gauteng,johannesburg,fourways-sunninghill-and-lonehill,maroeladal,31,,
gauteng,johannesburg,fourways-sunninghill-and-lonehill,paulshof,362,38.0,9.526315789473685
gauteng,johannesburg,fourways-sunninghill-and-lonehill,pineslopes,18,,
gauteng,johannesburg,fourways-sunninghill-and-lonehill,steyn-city,1,,
gauteng,johannesburg,fourways-sunninghill-and-lonehill,sunninghill,305,33.0,9.242424242424242
gauteng,johannesburg,johannesburg-south,aeroton,16,,
gauteng,johannesburg,johannesburg-south,alan-manor,63,,
gauteng,johannesburg,johannesburg-south,alveda,132,2.0,66.0
gauteng,johannesburg,johannesburg-south,aspen-hills,3,,
gauteng,johannesburg,johannesburg-south,bassonia,73,,
gauteng,johannesburg,johannesburg-south,crown-gardens,32,,
gauteng,johannesburg,johannesburg-south,eikenhof,41,,
gauteng,johannesburg,johannesburg-south,elandspark,75,,
gauteng,johannesburg,johannesburg-south,eye-of-africa,21,,
gauteng,johannesburg,johannesburg-south,forest-hill,36,2.0,18.0
gauteng,johannesburg,johannesburg-south,gillview,10,1.0,10.0
gauteng,johannesburg,johannesburg-south,glenanda,36,,
gauteng,johannesburg,johannesburg-south,glenvista,207,,
gauteng,johannesburg,johannesburg-south,haddon,39,2.0,19.5
gauteng,johannesburg,johannesburg-south,katlehong,339,2.0,169.5
gauteng,johannesburg,johannesburg-south,kenilworth,31,1.0,31.0
gauteng,johannesburg,johannesburg-south,kibler-park,306,4.0,76.5
gauteng,johannesburg,johannesburg-south,liefde-en-vrede,94,3.0,31.333333333333332
gauteng,johannesburg,johannesburg-south,linmeyer,111,2.0,55.5
gauteng,johannesburg,johannesburg-south,meredale,137,2.0,68.5
gauteng,johannesburg,johannesburg-south,moffat-view,21,,
gauteng,johannesburg,johannesburg-south,mondeor,191,5.0,38.2
gauteng,johannesburg,johannesburg-south,mulbarton,179,5.0,35.8
gauteng,johannesburg,johannesburg-south,naturena,180,4.0,45.0
gauteng,johannesburg,johannesburg-south,oakdene,321,6.0,53.5
gauteng,johannesburg,johannesburg-south,ormonde,260,6.0,43.333333333333336
gauteng,johannesburg,johannesburg-south,regents-park,34,2.0,17.0
gauteng,johannesburg,johannesburg-south,ridgeway,169,1.0,169.0
gauteng,johannesburg,johannesburg-south,robertsham,34,3.0,11.333333333333334
gauteng,johannesburg,johannesburg-south,roseacre,27,,
gauteng,johannesburg,johannesburg-south,rosettenville,95,2.0,47.5
gauteng,johannesburg,johannesburg-south,sky-city,1124,6.0,187.33333333333334
gauteng,johannesburg,johannesburg-south,south-hills,135,10.0,13.5
gauteng,johannesburg,johannesburg-south,suideroord,36,5.0,7.2
gauteng,johannesburg,johannesburg-south,the-hill,61,,
gauteng,johannesburg,johannesburg-south,turffontein,87,,
gauteng,johannesburg,johannesburg-south,winchester-hills,287,2.0,143.5
gauteng,johannesburg,north-riding-to-lanseria,bellairspark,11,,
gauteng,johannesburg,north-riding-to-lanseria,boskruin,30,7.0,4.285714285714286
gauteng,johannesburg,north-riding-to-lanseria,bromhof,100,22.0,4.545454545454546
gauteng,johannesburg,north-riding-to-lanseria,chartwell,60,3.0,20.0
gauteng,johannesburg,north-riding-to-lanseria,cosmo-city,459,33.0,13.909090909090908
gauteng,johannesburg,north-riding-to-lanseria,farmall,2,,
gauteng,johannesburg,north-riding-to-lanseria,jackal-creek-northriding,2,5.0,0.4
gauteng,johannesburg,north-riding-to-lanseria,johannesburg-north,13,8.0,1.625
gauteng,johannesburg,north-riding-to-lanseria,kya-sands,81,,
gauteng,johannesburg,north-riding-to-lanseria,lanseria-and-surrounds,146,3.0,48.666666666666664
gauteng,johannesburg,north-riding-to-lanseria,nooitgedacht,40,,
gauteng,johannesburg,north-riding-to-lanseria,noordhang,48,1.0,48.0
gauteng,johannesburg,north-riding-to-lanseria,north-riding,507,44.0,11.522727272727273
gauteng,johannesburg,north-riding-to-lanseria,northgate,200,6.0,33.333333333333336
gauteng,johannesburg,north-riding-to-lanseria,northwold,137,24.0,5.708333333333333
gauteng,johannesburg,north-riding-to-lanseria,olivedale,139,9.0,15.444444444444445
gauteng,johannesburg,north-riding-to-lanseria,sharonlea,36,2.0,18.0
gauteng,johannesburg,north-riding-to-lanseria,sonneglans,78,2.0,39.0
gauteng,johannesburg,north-riding-to-lanseria,sundowner,133,16.0,8.3125
gauteng,johannesburg,northcliff,albertskroon,2,,
gauteng,johannesburg,northcliff,albertville,56,3.0,18.666666666666668
gauteng,johannesburg,northcliff,auckland-park,46,2.0,23.0
gauteng,johannesburg,northcliff,berario,7,,
gauteng,johannesburg,northcliff,bergbron,64,7.0,9.142857142857142
gauteng,johannesburg,northcliff,blackheath,72,4.0,18.0
gauteng,johannesburg,northcliff,bosmont,19,2.0,9.5
gauteng,johannesburg,northcliff,brixton,55,5.0,11.0
gauteng,johannesburg,northcliff,crosby,41,5.0,8.2
gauteng,johannesburg,northcliff,delarey,11,,
gauteng,johannesburg,northcliff,emmarentia,4,,
gauteng,johannesburg,northcliff,fairland,97,26.0,3.730769230769231
gauteng,johannesburg,northcliff,florida-glen,32,6.0,5.333333333333333
gauteng,johannesburg,northcliff,greenside,12,2.0,6.0
gauteng,johannesburg,northcliff,greymont,31,5.0,6.2
gauteng,johannesburg,northcliff,linden,31,5.0,6.2
gauteng,johannesburg,northcliff,melville,45,5.0,9.0
gauteng,johannesburg,northcliff,montgomery-park,41,7.0,5.857142857142857
gauteng,johannesburg,northcliff,newlands,53,11.0,4.818181818181818
gauteng,johannesburg,northcliff,northcliff,95,14.0,6.785714285714286
gauteng,johannesburg,northcliff,quellerina,21,3.0,7.0
gauteng,johannesburg,northcliff,richmond,34,2.0,17.0
gauteng,johannesburg,northcliff,risidale,6,1.0,6.0
gauteng,johannesburg,northcliff,riverlea,73,16.0,4.5625
gauteng,johannesburg,northcliff,sophiatown,47,3.0,15.666666666666666
gauteng,johannesburg,northcliff,victory-park,17,4.0,4.25
gauteng,johannesburg,northcliff,westbury,12,,
gauteng,johannesburg,northcliff,westdene,97,12.0,8.083333333333334
gauteng,johannesburg,northcliff,whiteridge,18,,
gauteng,johannesburg,randburg-and-ferndale,aldara-park,1,,
gauteng,johannesburg,randburg-and-ferndale,blairgowrie,75,25.0,3.0
gauteng,johannesburg,randburg-and-ferndale,bordeaux,19,5.0,3.8
gauteng,johannesburg,randburg-and-ferndale,cresta,10,1.0,10.0
gauteng,johannesburg,randburg-and-ferndale,darrenwood,12,3.0,4.0
gauteng,johannesburg,randburg-and-ferndale,ferndale,373,39.0,9.564102564102564
gauteng,johannesburg,randburg-and-ferndale,fontainebleau,20,5.0,4.0
gauteng,johannesburg,randburg-and-ferndale,kelland,10,,
gauteng,johannesburg,randburg-and-ferndale,kensington-b,39,2.0,19.5
gauteng,johannesburg,randburg-and-ferndale,malanshof,36,7.0,5.142857142857143
gauteng,johannesburg,randburg-and-ferndale,moret,2,4.0,0.5
gauteng,johannesburg,randburg-and-ferndale,president-ridge,8,3.0,2.6666666666666665
gauteng,johannesburg,randburg-and-ferndale,randpark,12,7.0,1.7142857142857142
gauteng,johannesburg,randburg-and-ferndale,randpark-ridge,137,48.0,2.8541666666666665
gauteng,johannesburg,randburg-and-ferndale,robin-hills,4,,
gauteng,johannesburg,randburg-and-ferndale,robindale,38,1.0,38.0
gauteng,johannesburg,randburg-and-ferndale,ruiterhof,2,,
gauteng,johannesburg,randburg-and-ferndale,strydompark,5,,
gauteng,johannesburg,randburg-and-ferndale,windsor-east,100,13.0,7.6923076923076925
gauteng,johannesburg,randburg-and-ferndale,windsor-glen,1,,
gauteng,johannesburg,randburg-and-ferndale,windsor-west,63,7.0,9.0
gauteng,johannesburg,rosebank-and-parktown,birdhaven,8,1.0,8.0
gauteng,johannesburg,rosebank-and-parktown,craighall,23,,
gauteng,johannesburg,rosebank-and-parktown,craighall-park,33,6.0,5.5
gauteng,johannesburg,rosebank-and-parktown,dunkeld-west,21,,
gauteng,johannesburg,rosebank-and-parktown,gresswold,30,3.0,10.0
gauteng,johannesburg,rosebank-and-parktown,highlands-north,50,5.0,10.0
gauteng,johannesburg,rosebank-and-parktown,houghton-estate,65,14.0,4.642857142857143
gauteng,johannesburg,rosebank-and-parktown,killarney,147,7.0,21.0
gauteng,johannesburg,rosebank-and-parktown,melrose,30,5.0,6.0
gauteng,johannesburg,rosebank-and-parktown,melrose-arch,14,,
gauteng,johannesburg,rosebank-and-parktown,melrose-estate,10,2.0,5.0
gauteng,johannesburg,rosebank-and-parktown,melrose-north,20,1.0,20.0
gauteng,johannesburg,rosebank-and-parktown,norwood,57,,
gauteng,johannesburg,rosebank-and-parktown,oaklands,9,1.0,9.0
gauteng,johannesburg,rosebank-and-parktown,orchards,19,1.0,19.0
gauteng,johannesburg,rosebank-and-parktown,parkhurst,2,9.0,0.2222222222222222
gauteng,johannesburg,rosebank-and-parktown,parktown,100,2.0,50.0
gauteng,johannesburg,rosebank-and-parktown,parktown-north,11,2.0,5.5
gauteng,johannesburg,rosebank-and-parktown,parkview,8,6.0,1.3333333333333333
gauteng,johannesburg,rosebank-and-parktown,parkwood,17,1.0,17.0
gauteng,johannesburg,rosebank-and-parktown,riviera,26,1.0,26.0
gauteng,johannesburg,rosebank-and-parktown,rosebank,60,5.0,12.0
gauteng,johannesburg,rosebank-and-parktown,savoy-estate,11,,
gauteng,johannesburg,rosebank-and-parktown,saxonwold,20,1.0,20.0
gauteng,johannesburg,rosebank-and-parktown,waverley,54,1.0,54.0
gauteng,johannesburg,rosebank-and-parktown,westcliff,2,,
gauteng,johannesburg,sandton-and-bryanston-north,atholl,46,9.0,5.111111111111111
gauteng,johannesburg,sandton-and-bryanston-north,atholl-gardens,2,,
gauteng,johannesburg,sandton-and-bryanston-north,benmore-gardens,29,4.0,7.25
gauteng,johannesburg,sandton-and-bryanston-north,bramley,22,2.0,11.0
gauteng,johannesburg,sandton-and-bryanston-north,bramley-park,20,3.0,6.666666666666667
gauteng,johannesburg,sandton-and-bryanston-north,bryanston,515,54.0,9.537037037037036
gauteng,johannesburg,sandton-and-bryanston-north,bryanston-west,8,,
gauteng,johannesburg,sandton-and-bryanston-north,buccleuch,199,9.0,22.11111111111111
gauteng,johannesburg,sandton-and-bryanston-north,edenburg,116,13.0,8.923076923076923
gauteng,johannesburg,sandton-and-bryanston-north,gallo-manor,14,8.0,1.75
gauteng,johannesburg,sandton-and-bryanston-north,hurlingham,14,7.0,2.0
gauteng,johannesburg,sandton-and-bryanston-north,hurlingham-manor,1,2.0,0.5
gauteng,johannesburg,sandton-and-bryanston-north,hyde-park,40,4.0,10.0
gauteng,johannesburg,sandton-and-bryanston-north,illovo,138,19.0,7.2631578947368425
gauteng,johannesburg,sandton-and-bryanston-north,inanda,4,,
gauteng,johannesburg,sandton-and-bryanston-north,kelvin,14,,
gauteng,johannesburg,sandton-and-bryanston-north,khyber-rock,2,1.0,2.0
gauteng,johannesburg,sandton-and-bryanston-north,linbro-park,132,3.0,44.0
gauteng,johannesburg,sandton-and-bryanston-north,lombardy-east,32,5.0,6.4
gauteng,johannesburg,sandton-and-bryanston-north,magaliessig,81,23.0,3.5217391304347827
gauteng,johannesburg,sandton-and-bryanston-north,morningside,518,34.0,15.235294117647058
gauteng,johannesburg,sandton-and-bryanston-north,morningside-manor,19,6.0,3.1666666666666665
gauteng,johannesburg,sandton-and-bryanston-north,parkmore,22,4.0,5.5
gauteng,johannesburg,sandton-and-bryanston-north,petervale,42,1.0,42.0
gauteng,johannesburg,sandton-and-bryanston-north,rembrandt-park,55,5.0,11.0
gauteng,johannesburg,sandton-and-bryanston-north,river-club,29,12.0,2.4166666666666665
gauteng,johannesburg,sandton-and-bryanston-north,rivonia,163,14.0,11.642857142857142
gauteng,johannesburg,sandton-and-bryanston-north,sandhurst,36,6.0,6.0
gauteng,johannesburg,sandton-and-bryanston-north,sandown,263,9.0,29.22222222222222
gauteng,johannesburg,sandton-and-bryanston-north,strathavon,41,4.0,10.25
gauteng,johannesburg,sandton-and-bryanston-north,wendywood,28,1.0,28.0
gauteng,johannesburg,sandton-and-bryanston-north,woodmead,55,3.0,18.333333333333332
